GAME,RATIO,GAMERS,COMP %,TIME,RATING,ADDED,True_Achievement,Game_Score,GENRES,Main_Genre,second_genre,third_genre,fourth_genre,name_genre_match
Mass Effect Legendary Edition,1.87,"84,143",4.1,100-120 hours,4.8,06 Jan 22,5442,2915,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Mass Effect Legendary Edition
The Elder Scrolls V: Skyrim Special Edition,1.97,"213,257",8,80-100 hours,4.7,15 Dec 20,3055,1550,"RPG, Action, Adventure, Open World",RPG, Action, Adventure, Open World,The Elder Scrolls V: Skyrim Special Edition
Mass Effect 2,1.34,"221,178",9.6,50-60 hours,4.7,09 Nov 20,1819,1355,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Mass Effect 2
Stardew Valley,3.04,"51,530",1,150-200 hours,4.7,02 Dec 21,3036,1000,"Simulation, RPG, Indie, Farming Sim",Simulation, RPG, Indie, Farming Sim,Stardew Valley
It Takes Two,1.68,"71,981",15.6,12-15 hours,4.7,03 Nov 21,1678,1000,"Action, Adventure, Platformer, Co-op",Action, Adventure, Platformer, Co-op,It Takes Two
Hades,2.4,"83,710",6.1,60-80 hours,4.6,18 Jun 21,2404,1000,"Action, Roguelike, RPG, Indie",Action, Roguelike, RPG, Indie,Hades
Resident Evil 7: Biohazard Grotesque Ver.,1.58,777,9.8,15-20 hours,4.6,17 Sep 20,2560,1620,"Survival Horror, Action, Adventure",Survival Horror, Action, Adventure,,Resident Evil 7: Biohazard Grotesque Ver.
Yakuza: Like a Dragon,2.13,"39,229",3.8,80-100 hours,4.6,13 Jun 21,2130,1000,"Action, RPG, Adventure, Turn-Based Combat",Action, RPG, Adventure, Turn-Based Combat,Yakuza: Like a Dragon
Forza Horizon 4,2.91,"379,536",0.9,60-80 hours,4.6,18 Dec 19,10516,3610,"Racing, Open World, Simulation",Racing, Open World, Simulation,,Forza Horizon 4
HITMAN 3,2.73,"63,570",1.9,25-30 hours,4.6,13 Mar 22,4202,1540,"Action, Stealth, Adventure",Action, Stealth, Adventure,,HITMAN 3
Ori and the Will of the Wisps,3.25,"105,933",1.3,20-25 hours,4.6,06 Mar 20,3250,1000,"Platformer, Metroidvania, Adventure",Platformer, Metroidvania, Adventure,,Ori and the Will of the Wisps
Forza Horizon 5,2.5,"301,931",1.6,80-100 hours,4.5,05 Nov 21,2497,1000,"Racing, Open World, Simulation",Racing, Open World, Simulation,,Forza Horizon 5
Psychonauts 2,1.94,"98,026",10.3,25-30 hours,4.5,25 Aug 21,1942,1000,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Psychonauts 2
Mass Effect 3,1.52,"197,006",5.8,50-60 hours,4.5,09 Nov 20,2357,1550,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Mass Effect 3
Final Fantasy X/X-2 HD Remaster,4.46,"25,727",1.2,150-200 hours,4.5,12 May 21,4458,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Final Fantasy X/X-2 HD Remaster
Halo: The Master Chief Collection,3.44,"455,839",0.4,300-500 hours,4.5,20 Oct 20,24046,7000,"Action, FPS, Adventure",Action, FPS, Adventure,,Halo: The Master Chief Collection
Fallout 4,1.78,"365,955",3.6,80-100 hours,4.5,12 Mar 21,2856,1600,"RPG, Action, Open World",RPG, Action, Open World,,Fallout 4
Fallout 3,1.58,"358,627",9.9,60-80 hours,4.5,13 Jun 21,2447,1550,"RPG, Action, Open World",RPG, Action, Open World,,Fallout 3
Ori and the Blind Forest: Definitive Edition,3.11,"155,957",0.7,20-25 hours,4.5,21 Oct 20,3893,1250,"Platformer, Metroidvania, Adventure",Platformer, Metroidvania, Adventure,,Ori and the Blind Forest: Definitive Edition
Dead Space 2,1.7,"150,214",4.5,20-25 hours,4.5,09 Nov 20,2122,1250,"Survival Horror, Action, Third-Person Shooter",Survival Horror, Action, Third-Person Shooter,,Dead Space 2
Batman: Arkham Knight,2.23,"254,473",1.1,40-50 hours,4.5,16 Dec 19,4454,2000,"Action, Adventure, Open World",Action, Adventure, Open World,,Batman: Arkham Knight
DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition,3.11,"52,220",4.6,100-120 hours,4.5,05 Dec 20,3105,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,DRAGON QUEST XI S: Echoes of an Elusive Age - Definitive Edition
Death's Door,1.62,"17,756",13.2,15-20 hours,4.5,20 Jan 22,1625,1000,"Action, Adventure, RPG",Action, Adventure, RPG,,Death's Door
Hollow Knight: Voidheart Edition,4.21,"52,927",1,60-80 hours,4.5,09 Jun 19,4212,1000,"Metroidvania, Action, Adventure",Metroidvania, Action, Adventure,,Hollow Knight: Voidheart Edition
Yakuza 6: The Song of Life,2.01,"8,621",7.1,50-60 hours,4.4,25 Mar 21,2015,1000,"Action, Adventure, Open World",Action, Adventure, Open World,,Yakuza 6: The Song of Life
Frostpunk: Console Edition,6.05,"10,578",0.2,150-200 hours,4.4,09 Jan 20,8416,1390,"Strategy, Simulation, Survival",Strategy, Simulation, Survival,,Frostpunk: Console Edition
Gears of War 3,2.69,"388,495",0.7,1000+ hours,4.4,16 Dec 19,5374,2000,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Gears of War 3
Dead Space (Xbox 360),1.74,"240,537",10.5,20-25 hours,4.4,09 Nov 20,1737,1000,"Survival Horror, Action, Third-Person Shooter",Survival Horror, Action, Third-Person Shooter,,Dead Space (Xbox 360)
Dragon Age: Inquisition,2.28,"200,501",1.2,80-100 hours,4.4,09 Nov 20,3577,1570,"RPG, Action, Adventure",RPG, Action, Adventure,,Dragon Age: Inquisition
A Plague Tale: Innocence,1.81,"102,572",15,15-20 hours,4.4,23 Jan 20,1812,1000,"Action, Adventure, Stealth",Action, Adventure, Stealth,,A Plague Tale: Innocence
Mass Effect,1.83,"273,105",6.4,60-80 hours,4.4,16 Dec 19,2196,1200,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Mass Effect
Resident Evil 7: Biohazard,2.77,"183,990",1,20-25 hours,4.4,21 Oct 20,4491,1620,"Survival Horror, Action, Adventure",Survival Horror, Action, Adventure,,Resident Evil 7: Biohazard
DOOM Eternal,2.51,"136,574",0.8,25-30 hours,4.4,01 Oct 20,3879,1545,"Action, FPS, Shooter",Action, FPS, Shooter,,DOOM Eternal
DOOM,2.99,"218,613",1.3,20-25 hours,4.4,13 Jun 21,4730,1580,"Action, FPS, Shooter",Action, FPS, Shooter,,DOOM
Mortal Kombat 11,2.09,"94,070",3.6,40-50 hours,4.4,15 Dec 21,2087,1000,"Fighting, Action",Fighting, Action,,,Mortal Kombat 11
Marvel's Guardians of the Galaxy,1.65,"100,648",4.9,20-25 hours,4.4,10 Mar 22,1651,1000,"Action, Adventure, Third-Person Shooter",Action, Adventure, Third-Person Shooter,,Marvel's Guardians of the Galaxy
Fallout: New Vegas,1.83,"256,198",5.9,60-80 hours,4.4,16 Dec 19,3023,1655,"RPG, Action, Open World",RPG, Action, Open World,,Fallout: New Vegas
Microsoft Flight Simulator,12.32,"91,677",0,1000+ hours,4.4,04 Dec 21,12323,1000,"Simulation, Flight Sim",Simulation, Flight Sim,,,Microsoft Flight Simulator
The Elder Scrolls IV: Oblivion,1.47,"256,417",18.4,60-80 hours,4.4,12 Mar 21,1831,1250,"RPG, Action, Adventure",RPG, Action, Adventure,,The Elder Scrolls IV: Oblivion
Gears of War: Ultimate Edition,2.55,"230,079",1.2,150-200 hours,4.4,16 Dec 19,3188,1250,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Gears of War: Ultimate Edition
Spiritfarer: Farewell Edition,2.07,"27,767",6.4,25-30 hours,4.4,18 Aug 20,2074,1000,"Adventure, Simulation, Indie",Adventure, Simulation, Indie,,Spiritfarer: Farewell Edition
Titanfall 2,1.83,"270,736",4.6,15-20 hours,4.3,09 Nov 20,1830,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Titanfall 2
The Walking Dead,1.33,"208,528",34.9,12-15 hours,4.3,16 Dec 19,1332,1000,"Adventure, Point & Click, Horror",Adventure, Point & Click, Horror,,The Walking Dead
Star Wars Jedi: Fallen Order,1.94,"265,357",10.2,25-30 hours,4.3,10 Nov 20,1940,1000,"Action, Adventure, Metroidvania",Action, Adventure, Metroidvania,,Star Wars Jedi: Fallen Order
Dishonored Definitive Edition,3.46,"68,140",0.7,60-80 hours,4.3,12 Mar 21,5680,1640,"Action, Stealth, Adventure",Action, Stealth, Adventure,,Dishonored Definitive Edition
DOOM (1993),3.1,"43,211",0.8,10-12 hours,4.3,12 Mar 21,3103,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,DOOM (1993)
Stellaris: Console Edition,3.74,"11,695",0,,4.3,16 Dec 19,11581,3100,"Strategy, Simulation, Grand Strategy",Strategy, Simulation, Grand Strategy,,Stellaris: Console Edition
Pillars Of Eternity II: Deadfire,2.53,"3,728",2.7,60-80 hours,4.3,18 Feb 21,2533,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Pillars Of Eternity II: Deadfire
Halo Infinite,2.48,"372,829",0.3,100-120 hours,4.3,18 Nov 21,3960,1600,"Action, FPS, Shooter",Action, FPS, Shooter,,Halo Infinite
Gears of War 2,1.92,"403,253",2.8,80-100 hours,4.3,16 Dec 19,3359,1750,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Gears of War 2
Dishonored 2,2.82,"119,147",3.4,40-50 hours,4.3,16 Dec 19,2815,1000,"Action, Stealth, Adventure",Action, Stealth, Adventure,,Dishonored 2
Minecraft,2.44,"362,210",1.8,30-35 hours,4.3,16 Dec 19,6740,2760,"Sandbox, Survival, Adventure",Sandbox, Survival, Adventure,,Minecraft
Slay The Spire,4.94,"43,335",0.9,150-200 hours,4.3,16 Dec 19,5287,1070,"Roguelike, Card Game, Strategy",Roguelike, Card Game, Strategy,,Slay The Spire
DOOM II (Classic),3.47,"21,659",0.5,12-15 hours,4.3,12 Mar 21,3468,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,DOOM II (Classic)
The Evil Within 2,2.03,"46,926",4.2,25-30 hours,4.3,13 Jun 21,2030,1000,"Survival Horror, Action, Adventure",Survival Horror, Action, Adventure,,The Evil Within 2
Sunset Overdrive,2.84,"331,579",1.4,40-50 hours,4.3,16 Dec 19,5466,1925,"Action, Adventure, Open World",Action, Adventure, Open World,,Sunset Overdrive
Wolfenstein: The New Order,1.81,"205,429",10.7,20-25 hours,4.3,12 Mar 21,1812,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Wolfenstein: The New Order
SnowRunner,4.14,"51,272",1.5,150-200 hours,4.3,17 May 21,4144,1000,"Simulation, Open World, Adventure",Simulation, Open World, Adventure,,SnowRunner
The Outer Worlds,2.78,"236,334",0.6,35-40 hours,4.3,16 Dec 19,3868,1390,"RPG, Action, FPS",RPG, Action, FPS,,The Outer Worlds
Dragon Age: Origins,1.73,"165,220",4.7,60-80 hours,4.3,09 Nov 20,3020,1750,"RPG, Action, Adventure",RPG, Action, Adventure,,Dragon Age: Origins
F1 2020,2.27,"38,969",2.8,20-25 hours,4.3,10 Aug 21,2267,1000,"Racing, Simulation, Sports",Racing, Simulation, Sports,,F1 2020
The Walking Dead: Season Two,1.1,"121,420",75.5,8-10 hours,4.3,16 Dec 19,1100,1000,"Adventure, Point & Click, Horror",Adventure, Point & Click, Horror,,The Walking Dead: Season Two
Life is Strange: True Colors,1.38,"20,455",35,10-12 hours,4.3,12 Apr 22,1380,1000,"Adventure, Point & Click, Story Rich",Adventure, Point & Click, Story Rich,,Life is Strange: True Colors
Nobody Saves the World,2.33,"36,373",5,25-30 hours,4.2,07 Jan 22,2330,1000,"Action, RPG, Adventure",Action, RPG, Adventure,,Nobody Saves the World
Middle-earth: Shadow of War,1.95,"125,748",1.9,60-80 hours,4.2,18 Dec 19,2926,1500,"Action, RPG, Adventure",Action, RPG, Adventure,,Middle-earth: Shadow of War
Dead Cells,8.36,"86,081",0.1,25-30 hours,4.2,16 Dec 19,16969,2030,"Roguelike, Metroidvania, Action",Roguelike, Metroidvania, Action,,Dead Cells
Battlefield 1,2.89,"343,701",1.2,40-50 hours,4.2,09 Nov 20,5789,2000,"Action, FPS, Shooter",Action, FPS, Shooter,,Battlefield 1
A Way Out,1.59,"114,217",26.1,6-8 hours,4.2,09 Nov 20,1590,1000,"Action, Adventure, Co-op",Action, Adventure, Co-op,,A Way Out
Banjo-Kazooie,1.8,"111,867",17.1,12-15 hours,4.2,28 Apr 20,361,200,"Platformer, Adventure",Platformer, Adventure,,,Banjo-Kazooie
Injustice 2,3.3,"162,858",0.5,80-100 hours,4.2,07 Jan 21,3943,1195,"Fighting, Action",Fighting, Action,,,Injustice 2
Children of Morta,2.38,"39,381",6.3,20-25 hours,4.2,16 Jan 20,2377,1000,"Action, RPG, Roguelite",Action, RPG, Roguelite,,Children of Morta
Alien: Isolation,3.3,"146,436",2,40-50 hours,4.2,16 Dec 19,3300,1000,"Survival Horror, Action, Adventure",Survival Horror, Action, Adventure,,Alien: Isolation
Battlefield: Bad Company 2,1.87,"274,462",2.4,40-50 hours,4.2,09 Nov 20,2677,1430,"Action, FPS, Shooter",Action, FPS, Shooter,,Battlefield: Bad Company 2
Gears of War 4,5.09,"308,897",0.5,200-300 hours,4.2,16 Dec 19,20366,4000,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Gears of War 4
Overcooked! 2,2.48,"124,372",2,8-10 hours,4.2,16 Dec 19,7436,3000,"Action, Co-op, Simulation",Action, Co-op, Simulation,,Overcooked! 2
Tunic,3.07,"64,288",4.4,15-20 hours,4.2,16 Mar 22,3067,1000,"Adventure, Puzzle, Action",Adventure, Puzzle, Action,,Tunic
Halo Wars: Definitive Edition,3.12,"75,646",3.7,25-30 hours,4.2,21 Oct 20,4687,1500,"Strategy, RTS, Simulation",Strategy, RTS, Simulation,,Halo Wars: Definitive Edition
Dishonored: Death of the Outsider,1.89,"24,017",13,15-20 hours,4.2,13 Jun 21,1890,1000,"Action, Stealth, Adventure",Action, Stealth, Adventure,,Dishonored: Death of the Outsider
Outer Wilds,3.11,"34,648",1,20-25 hours,4.2,06 Jan 22,5810,1870,"Adventure, Exploration, Puzzle",Adventure, Exploration, Puzzle,,Outer Wilds
Plants vs. Zombies Garden Warfare,2.4,"153,757",2.4,40-50 hours,4.2,09 Nov 20,3604,1500,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Plants vs. Zombies Garden Warfare
Darkest Dungeon,5.37,"27,639",0.2,150-200 hours,4.2,10 Jun 21,7002,1305,"RPG, Turn-Based, Roguelike",RPG, Turn-Based, Roguelike,,Darkest Dungeon
Yakuza 5 Remastered,2.95,"8,210",2.7,150-200 hours,4.2,28 Jan 21,2951,1000,"Action, Adventure, Open World",Action, Adventure, Open World,,Yakuza 5 Remastered
Quantum Break,1.53,"196,340",12.8,15-20 hours,4.2,16 Dec 19,1529,1000,"Action, Adventure, Third-Person Shooter",Action, Adventure, Third-Person Shooter,,Quantum Break
Battlefield 3,2.11,"314,544",1.8,40-50 hours,4.2,09 Nov 20,3369,1600,"Action, FPS, Shooter",Action, FPS, Shooter,,Battlefield 3
Rare Replay,6.55,"181,648",0.2,200-300 hours,4.2,18 Dec 19,26183,4000,"Compilation, Adventure",Compilation, Adventure,,,Rare Replay
Wolfenstein II: The New Colossus,4.27,"146,594",0.1,80-100 hours,4.1,13 Jun 21,6569,1540,"Action, FPS, Shooter",Action, FPS, Shooter,,Wolfenstein II: The New Colossus
Hellblade: Senua's Sacrifice,1.6,"160,224",14.1,6-8 hours,4.1,16 Dec 19,1599,1000,"Action, Adventure, Horror",Action, Adventure, Horror,,Hellblade: Senua's Sacrifice
Monster Train,3.41,"22,101",2.1,20-25 hours,4.1,17 Dec 20,3409,1000,"Roguelike, Card Game, Strategy",Roguelike, Card Game, Strategy,,Monster Train
Octopath Traveler,6.58,"41,501",0.5,100-120 hours,4.1,25 Mar 21,6580,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Octopath Traveler
MLB The Show 22,2.08,"31,666",1.8,8-10 hours,4.1,13 Apr 22,2082,1000,"Sports, Simulation",Sports, Simulation,,,MLB The Show 22
Dead by Daylight,3.95,"96,087",0.2,200-300 hours,4.1,16 Dec 19,14070,3560,"Action, Survival Horror, Co-op",Action, Survival Horror, Co-op,,Dead by Daylight
Elite: Dangerous,6.95,"66,416",0,,4.1,24 Feb 21,26466,3810,"Simulation, Open World, Space",Simulation, Open World, Space,,Elite: Dangerous
Prey,3.41,"105,857",0.7,50-60 hours,4.1,12 Mar 21,4072,1195,"Action, FPS, Adventure",Action, FPS, Adventure,,Prey
Tom Clancy's Rainbow Six Siege,1.51,"303,925",10.4,80-100 hours,4.1,20 Mar 22,1506,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Tom Clancy's Rainbow Six Siege
Gears of War,2.68,"412,763",1.8,150-200 hours,4.1,16 Dec 19,3349,1250,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Gears of War
The Evil Within,2.66,"67,630",1.8,60-80 hours,4.1,12 Mar 21,4610,1735,"Survival Horror, Action, Adventure",Survival Horror, Action, Adventure,,The Evil Within
DiRT Rally 2.0,3.51,"21,936",0.2,60-80 hours,4.1,10 Aug 21,5571,1585,"Racing, Simulation, Sports",Racing, Simulation, Sports,,DiRT Rally 2.0
Fable Anniversary,1.99,"116,773",5.6,20-25 hours,4.1,16 Dec 19,1991,1000,"RPG, Action, Adventure",RPG, Action, Adventure,,Fable Anniversary
Yakuza 4 Remastered,2.59,"6,407",5.2,60-80 hours,4.1,28 Jan 21,2585,1000,"Action, Adventure, Open World",Action, Adventure, Open World,,Yakuza 4 Remastered
AI: The Somnium Files,2.21,"8,940",13.1,20-25 hours,4.1,30 Sep 21,2208,1000,"Adventure, Visual Novel, Mystery",Adventure, Visual Novel, Mystery,,AI: The Somnium Files
Fable Anniversary,1.99,"116,564",5.6,20-25 hours,4.1,16 Dec 19,1989,1000,"RPG, Action, Adventure",RPG, Action, Adventure,,Fable Anniversary
DiRT Rally 2.0,3.52,"21,866",0.2,60-80 hours,4.1,10 Aug 21,5572,1585,"Racing, Simulation, Sports",Racing, Simulation, Sports,,DiRT Rally 2.0
Banjo-Tooie,1.62,"47,173",18.9,15-20 hours,4.1,28 Apr 20,323,200,"Platformer, Adventure",Platformer, Adventure,,,Banjo-Tooie
Wolfenstein: The Old Blood,2.03,"88,436",6.3,15-20 hours,4.1,12 Mar 21,2033,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Wolfenstein: The Old Blood
F1 2021,2.78,"31,404",1,80-100 hours,4.1,24 Mar 22,2782,1000,"Racing, Simulation, Sports",Racing, Simulation, Sports,,F1 2021
Tropico 6,3.34,"11,784",1.8,50-60 hours,4.1,08 Jul 21,3341,1000,"Strategy, Simulation, City Builder",Strategy, Simulation, City Builder,,Tropico 6
Tetris Effect: Connected,6.63,"98,944",0.1,80-100 hours,4.1,10 Nov 20,6631,1000,"Puzzle, Arcade, Indie",Puzzle, Arcade, Indie,,Tetris Effect: Connected
What Remains of Edith Finch,1.15,"88,929",62.9,2-3 hours,4.1,16 Dec 19,1147,1000,"Adventure, Story Rich, Walking Sim",Adventure, Story Rich, Walking Sim,,What Remains of Edith Finch
Final Fantasy XIII-2,1.75,"49,173",17.2,60-80 hours,4.1,02 Dec 21,1754,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Final Fantasy XIII-2
Gears 5,7.46,"302,711",0.1,1000+ hours,4.1,07 Jan 22,18645,2500,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Gears 5
Halo 5: Guardians,2.47,"383,062",2.5,40-50 hours,4.1,16 Dec 19,3082,1250,"Action, FPS, Shooter",Action, FPS, Shooter,,Halo 5: Guardians
Sniper Elite 4,3.61,"107,142",0.6,40-50 hours,4.1,16 Dec 19,6687,1850,"Action, Stealth, Shooter",Action, Stealth, Shooter,,Sniper Elite 4
Gears Tactics,8.4,"96,703",0.3,80-100 hours,4.1,09 Nov 20,11756,1400,"Strategy, Turn-Based, Tactics",Strategy, Turn-Based, Tactics,,Gears Tactics
Streets of Rage 4,4.12,"115,032",0.5,40-50 hours,4.1,30 Apr 20,4928,1195,"Action, Beat 'em up, Arcade",Action, Beat 'em up, Arcade,,Streets of Rage 4
Plants vs. Zombies,2.02,"182,378",7.1,15-20 hours,4.1,09 Nov 20,404,200,"Strategy, Tower Defense",Strategy, Tower Defense,,,Plants vs. Zombies
The Riftbreaker,2.75,"6,910",4,30-35 hours,4.1,03 Sep 21,2750,1000,"Action, RPG, Survival",Action, RPG, Survival,,The Riftbreaker
Dragon Quest Builders 2,3.43,"29,288",3.3,80-100 hours,4.1,04 May 21,3429,1000,"RPG, Action, Adventure",RPG, Action, Adventure,,Dragon Quest Builders 2
Battlefield 4,2.36,"283,584",1.1,20-25 hours,4.1,09 Nov 20,3780,1600,"Action, FPS, Shooter",Action, FPS, Shooter,,Battlefield 4
The Forgotten City,1.85,"24,841",8.6,8-10 hours,4.1,28 Oct 21,1846,1000,"Adventure, Mystery, RPG",Adventure, Mystery, RPG,,The Forgotten City
Bug Fables: The Everlasting Sapling,2.7,"4,461",7.6,40-50 hours,4.1,01 Jul 21,2699,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Bug Fables: The Everlasting Sapling
LIMBO,2.12,"128,274",2.8,6-8 hours,4.1,01 Jul 21,2119,1000,"Adventure, Puzzle, Platformer",Adventure, Puzzle, Platformer,,LIMBO
Deep Rock Galactic,5.1,"68,659",0.1,300-500 hours,4.1,04 Nov 20,5104,1000,"Action, FPS, Co-op",Action, FPS, Co-op,,Deep Rock Galactic
Forager,2.05,"26,163",10.6,40-50 hours,4,09 Jul 20,2053,1000,"Adventure, Simulation, Indie",Adventure, Simulation, Indie,,Forager
No Man's Sky,2.91,"128,028",1.3,50-60 hours,4,11 Jun 20,2909,1000,"Adventure, Open World, Survival",Adventure, Open World, Survival,,No Man's Sky
Scarlet Nexus,3.06,"38,809",4.5,60-80 hours,4,30 Sep 21,3061,1000,"Action, RPG, Adventure",Action, RPG, Adventure,,Scarlet Nexus
Plants vs. Zombies Garden Warfare 2,2.9,"168,026",1,40-50 hours,4,09 Nov 20,3624,1250,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Plants vs. Zombies Garden Warfare 2
Fable II,1.55,"302,160",5.8,25-30 hours,4,16 Dec 19,2092,1350,"RPG, Action, Adventure",RPG, Action, Adventure,,Fable II
Burnout Paradise Remastered,5.7,"102,795",0.4,60-80 hours,4,09 Nov 20,5699,1000,"Racing, Arcade, Open World",Racing, Arcade, Open World,,Burnout Paradise Remastered
Wasteland 2: Director's Cut,2.79,"9,112",3.7,80-100 hours,4,16 Dec 19,2793,1000,"RPG, Turn-Based, Strategy",RPG, Turn-Based, Strategy,,Wasteland 2: Director's Cut
The Walking Dead: A New Frontier,1.06,"83,897",74,1-2 hours,4,18 Dec 19,1062,1000,"Adventure, Point & Click, Horror",Adventure, Point & Click, Horror,,The Walking Dead: A New Frontier
Turnip Boy Commits Tax Evasion,2.04,"11,858",2.1,2-3 hours,4,19 Apr 22,2037,1000,"Adventure, Action, Indie",Adventure, Action, Indie,,Turnip Boy Commits Tax Evasion
Dragon Ball FighterZ,3.56,"101,973",0.4,80-100 hours,4,21 Oct 21,3564,1000,"Fighting, Action",Fighting, Action,,,Dragon Ball FighterZ
Jurassic World Evolution,4.79,"132,004",0.2,40-50 hours,4,11 Feb 21,8577,1790,"Simulation, Strategy, Management",Simulation, Strategy, Management,,Jurassic World Evolution
Dead Space 3,2.3,"124,511",2.5,50-60 hours,4,09 Nov 20,2875,1250,"Survival Horror, Action, Third-Person Shooter",Survival Horror, Action, Third-Person Shooter,,Dead Space 3
Infernax,1.93,"4,598",10.4,15-20 hours,4,14 Feb 22,1935,1000,"Action, Adventure, Metroidvania",Action, Adventure, Metroidvania,,Infernax
Firewatch,1.22,"58,987",42,4-5 hours,4,15 Dec 21,1221,1000,"Adventure, Walking Sim, Story Rich",Adventure, Walking Sim, Story Rich,,Firewatch
State of Decay: Year-One,2.66,"142,174",1.2,60-80 hours,4,16 Dec 19,3984,1500,"Action, Survival, Open World",Action, Survival, Open World,,State of Decay: Year-One
DOOM 3,3.19,"10,951",3,25-30 hours,4,12 Mar 21,3190,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,DOOM 3
Battlefield 1943,1.26,"92,715",29,20-25 hours,4,09 Nov 20,252,200,"Action, FPS, Shooter",Action, FPS, Shooter,,Battlefield 1943
Unravel,2.89,"120,048",4.6,12-15 hours,4,09 Nov 20,2890,1000,"Adventure, Puzzle, Platformer",Adventure, Puzzle, Platformer,,Unravel
Zombie Army 4: Dead War,3.03,"77,476",0,30-35 hours,4,06 Apr 21,3664,1210,"Action, Shooter, Survival Horror",Action, Shooter, Survival Horror,,Zombie Army 4: Dead War
Lightning Returns: Final Fantasy XIII,1.92,"22,085",12.6,40-50 hours,4,13 Mar 22,1916,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Lightning Returns: Final Fantasy XIII
Enter the Gungeon,5.04,"75,269",1,80-100 hours,4,16 Dec 19,6295,1250,"Roguelike, Action, Bullet Hell",Roguelike, Action, Bullet Hell,,Enter the Gungeon
