GAME,RATIO,GAMERS,COMP %,TIME,RATING,ADDED,True_Achievement,Game_Score,GENRES,Main_Genre,second_genre,third_genre,fourth_genre,name_genre_match
Football Manager 2022 Xbox Edition,4.07,"9,424",0.9,200-300 hours,4,29 Oct 21,4067,1000,"Simulation, Sports, Management",Simulation, Sports, Management,,Football Manager 2022 Xbox Edition
Quake,4.95,"49,226",2.2,2-3 hours,4,19 Aug 21,4948,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Quake
Wasteland 3,4.94,"47,074",0.1,120-150 hours,4,28 Aug 20,7365,1490,"RPG, Turn-Based, Strategy",RPG, Turn-Based, Strategy,,Wasteland 3
Skate 3,2.97,"204,395",0.6,25-30 hours,4,09 Nov 20,4459,1500,"Sports, Simulation, Skateboarding",Sports, Simulation, Skateboarding,,Skate 3
Outlast 2,5.07,"35,332",0.8,35-40 hours,4,06 May 21,5071,1000,"Survival Horror, Action, Adventure",Survival Horror, Action, Adventure,,Outlast 2
Archvale,1.97,"16,742",15.6,6-8 hours,4,02 Dec 21,1965,1000,"Action, Adventure, Bullet Hell",Action, Adventure, Bullet Hell,,Archvale
Ryse: Son of Rome,2.33,"321,034",1.8,40-50 hours,4,06 Sep 21,4665,2000,"Action, Adventure",Action, Adventure,,,Ryse: Son of Rome
New Super Lucky's Tale,2.08,"72,184",7.8,10-12 hours,4,21 Aug 20,2078,1000,"Platformer, Adventure",Platformer, Adventure,,,New Super Lucky's Tale
Carrion,2.03,"90,957",15.1,6-8 hours,3.9,23 Jul 20,2027,1000,"Action, Adventure, Metroidvania",Action, Adventure, Metroidvania,,Carrion
Remnant: From the Ashes,2.48,"99,649",0.6,50-60 hours,3.9,16 Dec 19,3724,1500,"Action, RPG, Survival",Action, RPG, Survival,,Remnant: From the Ashes
Terraria,3.52,"132,799",0.4,80-100 hours,3.9,19 Jun 19,3910,1110,"Sandbox, Survival, Adventure",Sandbox, Survival, Adventure,,Terraria
Dragon Age II,1.7,"109,375",4.8,60-80 hours,3.9,09 Nov 20,2335,1370,"RPG, Action, Adventure",RPG, Action, Adventure,,Dragon Age II
Lost In Random,3.12,"14,094",1.8,15-20 hours,3.9,13 Apr 22,3121,1000,"Action, Adventure",Action, Adventure,,,Lost In Random
Peggle 2,2.23,"154,283",3.6,15-20 hours,3.9,09 Nov 20,3237,1450,"Puzzle, Arcade",Puzzle, Arcade,,,Peggle 2
Superliminal,3.6,"41,853",2.6,8-10 hours,3.9,16 Sep 21,4320,1200,"Adventure, Puzzle",Adventure, Puzzle,,,Superliminal
Crysis,1.54,"52,625",17.1,15-20 hours,3.9,09 Nov 20,1541,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Crysis
The Wild at Heart,2.52,"15,755",9.6,15-20 hours,3.9,27 Mar 21,2523,1000,"Adventure, Puzzle",Adventure, Puzzle,,,The Wild at Heart
Farming Simulator 19,2.32,"19,824",5.3,60-80 hours,3.9,15 Jul 21,2317,1000,"Simulation, Farming Sim",Simulation, Farming Sim,,,Farming Simulator 19
Pillars of Eternity,2.94,"6,040",1.2,80-100 hours,3.9,19 Dec 19,2944,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Pillars of Eternity
Monster Sanctuary,3.81,"24,224",3.3,40-50 hours,3.9,01 Dec 20,3807,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Monster Sanctuary
Danganronpa: Trigger Happy Havoc Anniversary Edition,3.58,"7,028",4.5,20-25 hours,3.9,18 Jan 22,3581,1000,"Adventure, Visual Novel, Mystery",Adventure, Visual Novel, Mystery,,Danganronpa: Trigger Happy Havoc Anniversary Edition
Alice: Madness Returns,2.23,"84,831",6.6,20-25 hours,3.9,09 Nov 20,2232,1000,"Action, Adventure, Horror",Action, Adventure, Horror,,Alice: Madness Returns
Maneater,2.01,"143,977",2.4,10-12 hours,3.9,25 May 21,2709,1350,"Action, RPG, Open World",Action, RPG, Open World,,Maneater
Wreckfest,3,"102,053",2.9,20-25 hours,3.9,18 Feb 21,3002,1000,"Racing, Simulation, Action",Racing, Simulation, Action,,Wreckfest
Plants vs. Zombies: Battle for Neighborville,2.6,"50,246",1.9,150-200 hours,3.9,09 Nov 20,2599,1000,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Plants vs. Zombies: Battle for Neighborville
Project Wingman,4.03,"9,772",0.9,30-35 hours,3.9,03 Dec 21,4033,1000,"Action, Simulation, Flight",Action, Simulation, Flight,,Project Wingman
Unravel Two,11.13,"59,006",0.4,25-30 hours,3.9,09 Nov 20,11128,1000,"Adventure, Puzzle, Platformer",Adventure, Puzzle, Platformer,,Unravel Two
Minecraft Dungeons,6.91,"236,552",0,15-20 hours,3.9,04 Dec 21,19015,2750,"Action, RPG, Dungeon Crawler",Action, RPG, Dungeon Crawler,,Minecraft Dungeons
State of Decay 2: Juggernaut Edition,4.65,"276,487",0.2,60-80 hours,3.9,16 Dec 19,11166,2400,"Action, Survival, Open World",Action, Survival, Open World,,State of Decay 2: Juggernaut Edition
The Long Dark,9.3,"51,494",0.1,100-120 hours,3.9,21 Oct 20,11300,1215,"Adventure, Simulation, Survival",Adventure, Simulation, Survival,,The Long Dark
Grim Fandango Remastered,1.86,"22,109",18.2,8-10 hours,3.9,29 Oct 20,1860,1000,"Adventure, Point & Click, Puzzle",Adventure, Point & Click, Puzzle,,Grim Fandango Remastered
Two Point Hospital,6.04,"69,530",0.2,100-120 hours,3.9,25 Feb 20,9177,1520,"Simulation, Management, Indie",Simulation, Management, Indie,,Two Point Hospital
ONE PIECE: PIRATE WARRIORS 4,2.36,"29,588",8.1,25-30 hours,3.9,09 Dec 21,2363,1000,"Action, Beat 'em up",Action, Beat 'em up,,,ONE PIECE: PIRATE WARRIORS 4
Taiko no Tatsujin: The Drum Master!,5.47,"43,721",1.1,50-60 hours,3.9,27 Jan 22,5471,1000,"Rhythm, Music, Arcade",Rhythm, Music, Arcade,,Taiko no Tatsujin: The Drum Master!
SUPERHOT: MIND CONTROL DELETE,2.16,"67,235",5.6,10-12 hours,3.9,01 Dec 20,2162,1000,"Action, FPS, Puzzle",Action, FPS, Puzzle,,SUPERHOT: MIND CONTROL DELETE
Mass Effect: Andromeda,2.2,"179,302",2.6,80-100 hours,3.9,09 Nov 20,2205,1000,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Mass Effect: Andromeda
Slime Rancher,2.38,"144,265",3.2,25-30 hours,3.9,01 Dec 20,2377,1000,"Adventure, Simulation, Indie",Adventure, Simulation, Indie,,Slime Rancher
The Elder Scrolls Online,5.01,"204,295",0,1000+ hours,3.9,18 Oct 20,27463,5480,"MMO, RPG, Open World",MMO, RPG, Open World,,The Elder Scrolls Online
GreedFall,3.52,"37,265",0.5,60-80 hours,3.9,01 Dec 20,3876,1100,"RPG, Action, Open World",RPG, Action, Open World,,GreedFall
Cities: Skylines,4.67,"108,817",0.1,150-200 hours,3.8,21 Oct 20,11208,2400,"Simulation, Strategy, City Builder",Simulation, Strategy, City Builder,,Cities: Skylines
Grounded,3.44,"61,345",1.1,1-2 hours,3.8,30 Jun 21,4813,1400,"Action, Survival, Adventure",Action, Survival, Adventure,,Grounded
Battlefield: Bad Company,2.41,"161,849",0.6,150-200 hours,3.8,09 Nov 20,2414,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Battlefield: Bad Company
Lost Words: Beyond the Page,1.49,"11,079",25.9,5-6 hours,3.8,23 Sep 21,1485,1000,"Adventure, Platformer, Story Rich",Adventure, Platformer, Story Rich,,Lost Words: Beyond the Page
The Artful Escape,1.23,"33,785",42.5,3-4 hours,3.8,06 Sep 21,1234,1000,"Adventure, Platformer, Story Rich",Adventure, Platformer, Story Rich,,The Artful Escape
Peggle,3.79,"165,096",0.6,40-50 hours,3.8,09 Nov 20,948,250,"Puzzle, Arcade",Puzzle, Arcade,,,Peggle
DiRT 4,3.95,"79,596",1,60-80 hours,3.8,10 Aug 21,3954,1000,"Racing, Simulation, Sports",Racing, Simulation, Sports,,DiRT 4
Destroy All Humans!,2.32,"106,146",5.3,12-15 hours,3.8,29 Apr 21,2323,1000,"Action, Adventure, Open World",Action, Adventure, Open World,,Destroy All Humans!
Alan Wake's American Nightmare,2.3,"52,250",6.6,8-10 hours,3.8,28 Oct 21,460,200,"Action, Adventure, Horror",Action, Adventure, Horror,,Alan Wake's American Nightmare
Dante's Inferno,1.86,"169,302",0.9,15-20 hours,3.8,09 Nov 20,2401,1290,"Action, Adventure, Hack and Slash",Action, Adventure, Hack and Slash,,Dante's Inferno
Dreamscaper,5.26,"8,971",1.4,40-50 hours,3.8,03 Feb 22,5264,1000,"Action, RPG, Roguelite",Action, RPG, Roguelite,,Dreamscaper
Final Fantasy XIII,2.53,"134,351",4.9,80-100 hours,3.8,01 Sep 21,2530,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Final Fantasy XIII
The Pedestrian,1.49,"28,084",33.9,3-4 hours,3.8,04 Jan 22,1495,1000,"Adventure, Puzzle",Adventure, Puzzle,,,The Pedestrian
RAGE,2.36,"143,127",1.3,20-25 hours,3.8,13 Jun 21,2945,1250,"Action, FPS, Shooter",Action, FPS, Shooter,,RAGE
Fable III,1.85,"325,399",2.8,25-30 hours,3.8,16 Dec 19,2319,1250,"RPG, Action, Adventure",RPG, Action, Adventure,,Fable III
Katamari Damacy Reroll,3.51,"33,433",1.3,20-25 hours,3.8,05 Aug 21,3513,1000,"Action, Puzzle, Arcade",Action, Puzzle, Arcade,,Katamari Damacy Reroll
Star Wars Battlefront II,2.15,"228,476",1.7,60-80 hours,3.8,09 Nov 20,2247,1045,"Action, FPS, Shooter",Action, FPS, Shooter,,Star Wars Battlefront II
Mirror's Edge,3.04,"215,161",0.6,25-30 hours,3.8,09 Nov 20,3805,1250,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Mirror's Edge
Crysis 2,2.56,"151,209",1.7,50-60 hours,3.8,09 Nov 20,2557,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Crysis 2
Perfect Dark (Xbox 360),3.33,"85,926",0.8,50-60 hours,3.8,06 Sep 21,667,200,"Action, FPS, Shooter",Action, FPS, Shooter,,Perfect Dark (Xbox 360)
Max: The Curse of Brotherhood,1.8,"167,987",15.5,8-10 hours,3.8,13 Dec 18,1795,1000,"Adventure, Puzzle, Platformer",Adventure, Puzzle, Platformer,,Max: The Curse of Brotherhood
Weird West,4.91,"28,059",0.8,35-40 hours,3.8,12 Jan 22,4907,1000,"Action, RPG, Simulation",Action, RPG, Simulation,,Weird West
Train Sim World 2,6.98,"17,494",0,,3.8,19 Aug 21,35854,5135,"Simulation, Train Sim",Simulation, Train Sim,,,Train Sim World 2
Moonlighter,4.11,"24,977",1.1,25-30 hours,3.8,16 Dec 19,4108,1000,"Action, Adventure, RPG",Action, Adventure, RPG,,Moonlighter
Ring of Pain,5.65,"9,858",0.5,60-80 hours,3.8,14 Oct 21,6609,1170,"Roguelike, Card Game, Strategy",Roguelike, Card Game, Strategy,,Ring of Pain
Star Wars Battlefront,3.16,"277,795",0.7,60-80 hours,3.8,09 Nov 20,5348,1690,"Action, FPS, Shooter",Action, FPS, Shooter,,Star Wars Battlefront
Killer Instinct,5.85,"241,912",0.1,80-100 hours,3.7,21 Oct 20,28862,4935,"Fighting, Action",Fighting, Action,,,Killer Instinct
Outriders,2.14,"168,156",1.4,40-50 hours,3.7,31 Mar 21,2240,1045,"Action, RPG, Third-Person Shooter",Action, RPG, Third-Person Shooter,,Outriders
My Friend Pedro,5.41,"81,841",0.6,15-20 hours,3.7,18 Nov 21,5409,1000,"Action, Platformer, Shooter",Action, Platformer, Shooter,,My Friend Pedro
MotoGP 20,2.5,"8,324",5.7,40-50 hours,3.7,17 Dec 20,2499,1000,"Racing, Simulation, Sports",Racing, Simulation, Sports,,MotoGP 20
Need for Speed Hot Pursuit Remastered,4.15,"65,439",1.9,30-35 hours,3.7,24 Jun 21,4152,1000,"Racing, Arcade",Racing, Arcade,,,Need for Speed Hot Pursuit Remastered
World War Z,4.07,"148,401",0.7,150-200 hours,3.7,16 Dec 19,4068,1000,"Action, Shooter, Survival",Action, Shooter, Survival,,World War Z
Sea of Thieves,9.38,"344,597",0,1000+ hours,3.7,18 Dec 19,35638,3800,"Adventure, Action, Open World",Adventure, Action, Open World,,Sea of Thieves
Yakuza 3 Remastered,3.16,"11,017",3.1,80-100 hours,3.7,28 Jan 21,3164,1000,"Action, Adventure, Open World",Action, Adventure, Open World,,Yakuza 3 Remastered
My Time at Portia,3.3,"44,112",2.3,80-100 hours,3.7,16 Dec 19,3303,1000,"Adventure, Simulation, RPG",Adventure, Simulation, RPG,,My Time at Portia
Brütal Legend,2.73,"113,058",1.8,40-50 hours,3.7,08 Oct 20,2971,1090,"Action, Adventure, Strategy",Action, Adventure, Strategy,,Brütal Legend
Day of the Tentacle Remastered,1.4,"33,225",40.1,2-3 hours,3.7,29 Oct 20,1401,1000,"Adventure, Point & Click, Puzzle",Adventure, Point & Click, Puzzle,,Day of the Tentacle Remastered
Omno,1.54,"35,403",31.9,3-4 hours,3.7,15 Jul 21,1537,1000,"Adventure, Puzzle, Platformer",Adventure, Puzzle, Platformer,,Omno
Record of Lodoss War -Deedlit in Wonder Labyrinth-,3.23,"18,573",4.1,8-10 hours,3.7,15 Dec 21,3231,1000,"Action, Metroidvania, Adventure",Action, Metroidvania, Adventure,,Record of Lodoss War -Deedlit in Wonder Labyrinth-
Zuma's Revenge!,1.68,"32,855",3.7,15-20 hours,3.7,09 Nov 20,673,400,"Puzzle, Arcade",Puzzle, Arcade,,,Zuma's Revenge!
NHL 21,3.66,"23,860",0.3,150-200 hours,3.7,12 Apr 21,3663,1000,"Sports, Simulation",Sports, Simulation,,,NHL 21
Dicey Dungeons,4.12,"11,235",1.9,40-50 hours,3.7,11 Nov 21,4122,1000,"Roguelike, Card Game, Strategy",Roguelike, Card Game, Strategy,,Dicey Dungeons
Battlefield V,2.56,"180,707",1.8,40-50 hours,3.7,09 Nov 20,2560,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Battlefield V
Supraland,2.91,"34,917",5.3,20-25 hours,3.7,13 Oct 20,2914,1000,"Adventure, Puzzle, Platformer",Adventure, Puzzle, Platformer,,Supraland
The Gunk,1.59,"62,395",11,6-8 hours,3.7,15 Dec 21,1591,1000,"Adventure, Exploration",Adventure, Exploration,,,The Gunk
Mighty Goose,2.06,"13,423",11.6,5-6 hours,3.7,30 Sep 21,2061,1000,"Action, Platformer, Shooter",Action, Platformer, Shooter,,Mighty Goose
The Walking Dead: Michonne,1.04,"71,357",84.7,1-2 hours,3.7,18 Dec 19,1038,1000,"Adventure, Point & Click, Horror",Adventure, Point & Click, Horror,,The Walking Dead: Michonne
Viva Piñata: Trouble In Paradise,2.18,"44,019",6.3,25-30 hours,3.7,16 Dec 19,2177,1000,"Simulation, Life Sim",Simulation, Life Sim,,,Viva Piñata: Trouble In Paradise
GRID,3.07,"23,287",0.6,200-300 hours,3.7,10 Aug 21,4034,1315,"Racing, Simulation, Sports",Racing, Simulation, Sports,,GRID
Crysis 3,2.92,"116,583",0.8,20-25 hours,3.7,09 Nov 20,3644,1250,"Action, FPS, Shooter",Action, FPS, Shooter,,Crysis 3
Battlefield Hardline,6.04,"200,741",0.1,50-60 hours,3.7,09 Nov 20,11774,1950,"Action, FPS, Shooter",Action, FPS, Shooter,,Battlefield Hardline
Among Us,2.57,"79,755",2.1,4-5 hours,3.7,14 Dec 21,2568,1000,"Party Game, Social Deduction",Party Game, Social Deduction,,,Among Us
FAR: Changing Tides,4.25,"16,437",1.3,8-10 hours,3.7,13 Mar 22,4248,1000,"Adventure, Puzzle",Adventure, Puzzle,,,FAR: Changing Tides
Costume Quest 2,1.38,"49,547",30.4,8-10 hours,3.7,16 Dec 19,1379,1000,"Adventure, RPG",Adventure, RPG,,,Costume Quest 2
Mirror's Edge Catalyst,3.09,"101,423",2.6,25-30 hours,3.7,09 Nov 20,3093,1000,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Mirror's Edge Catalyst
Myst,1.83,"16,597",8.6,6-8 hours,3.7,26 Aug 21,1831,1000,"Adventure, Puzzle",Adventure, Puzzle,,,Myst
ReCore,3.43,"162,987",1.4,40-50 hours,3.7,16 Dec 19,5145,1500,"Action, Adventure, Platformer",Action, Adventure, Platformer,,ReCore
The Ascent,2.84,"111,762",2.3,20-25 hours,3.7,29 Jul 21,2843,1000,"Action, RPG, Twin Stick Shooter",Action, RPG, Twin Stick Shooter,,The Ascent
Curse of the Dead Gods,9.12,"25,972",0.1,60-80 hours,3.7,05 Aug 21,9122,1000,"Roguelike, Action",Roguelike, Action,,,Curse of the Dead Gods
"Yes, Your Grace",2.35,"20,321",3.4,12-15 hours,3.7,01 Dec 20,2345,1000,"RPG, Strategy, Simulation",RPG, Strategy, Simulation,,"Yes, Your Grace"
Fight Night Champion,11.35,"84,000",0,,3.6,09 Nov 20,13053,1150,"Sports, Fighting, Simulation",Sports, Fighting, Simulation,,Fight Night Champion
"Warhammer 40,000: Battlesector",3.36,"10,781",2.1,20-25 hours,3.6,17 Nov 21,3358,1000,"Strategy, Turn-Based, Tactics",Strategy, Turn-Based, Tactics,,"Warhammer 40,000: Battlesector"
Flynn: Son of Crimson,2.36,"16,188",12.6,6-8 hours,3.6,15 Sep 21,2357,1000,"Action, Adventure, Platformer",Action, Adventure, Platformer,,Flynn: Son of Crimson
Battletoads,3.88,"101,070",0.3,15-20 hours,3.6,20 Aug 20,3880,1000,"Action, Beat 'em up, Platformer",Action, Beat 'em up, Platformer,,Battletoads
Steep,4.99,"90,919",0.3,30-35 hours,3.6,06 May 21,6983,1400,"Sports, Open World, Extreme Sports",Sports, Open World, Extreme Sports,,Steep
Sable,1.94,"9,736",13.2,15-20 hours,3.6,23 Sep 21,1936,1000,,,,,,
Need for Speed Heat,3.01,"123,299",2.4,30-35 hours,3.6,09 Nov 20,3011,1000,"Racing, Open World",Racing, Open World,,,Need for Speed Heat
Subnautica: Below Zero,1.74,"41,620",23,0.5-1 hour,3.6,23 Sep 21,1744,1000,"Adventure, Survival, Open World",Adventure, Survival, Open World,,Subnautica: Below Zero
Echo Generation,2.03,"16,168",13.9,6-8 hours,3.6,21 Oct 21,2025,1000,"Adventure, Horror, Turn-Based",Adventure, Horror, Turn-Based,,Echo Generation
Knockout City,3.88,"52,268",0.8,60-80 hours,3.6,17 May 21,3882,1000,"Action, Sports, Multiplayer",Action, Sports, Multiplayer,,Knockout City
Young Souls,3.16,"11,265",4.7,6-8 hours,3.6,10 Mar 22,3159,1000,"Action, RPG, Beat 'em up",Action, RPG, Beat 'em up,,Young Souls
Sea of Solitude,1.82,"30,992",14.9,5-6 hours,3.6,09 Nov 20,1818,1000,"Adventure, Exploration",Adventure, Exploration,,,Sea of Solitude
Super Lucky's Tale,2.51,"111,416",2.1,8-10 hours,3.6,01 Sep 20,5028,2000,"Platformer, Adventure",Platformer, Adventure,,,Super Lucky's Tale
Windjammers 2,6.16,"10,064",0.3,20-25 hours,3.6,11 Jan 22,6159,1000,"Sports, Arcade",Sports, Arcade,,,Windjammers 2
Gears of War: Judgment,2.8,"221,067",1.1,50-60 hours,3.6,16 Dec 19,4198,1500,"Action, Third-Person Shooter",Action, Third-Person Shooter,,,Gears of War: Judgment
Undertale,2.2,"53,348",13,4-5 hours,3.6,16 Mar 21,2205,1000,"RPG, Turn-Based, Adventure",RPG, Turn-Based, Adventure,,Undertale
Full Throttle Remastered,1.27,"36,596",46.5,2-3 hours,3.6,29 Oct 20,1272,1000,"Adventure, Point & Click, Puzzle",Adventure, Point & Click, Puzzle,,Full Throttle Remastered
skate.,2.68,"73,561",2.6,20-25 hours,3.6,05 Aug 21,2683,1000,"Sports, Simulation, Skateboarding",Sports, Simulation, Skateboarding,,skate.
Bejeweled 3,2.96,"52,890",3.7,12-15 hours,3.6,09 Nov 20,593,200,"Puzzle, Arcade",Puzzle, Arcade,,,Bejeweled 3
Boyfriend Dungeon,1.72,"12,310",10.8,6-8 hours,3.6,11 Aug 21,1716,1000,"Action, RPG, Dating Sim",Action, RPG, Dating Sim,,Boyfriend Dungeon
NHL 20,3.11,"22,764",0.4,80-100 hours,3.6,09 Nov 20,3106,1000,"Sports, Simulation",Sports, Simulation,,,NHL 20
DiRT Rally,6.24,"50,243",0.5,60-80 hours,3.6,10 Aug 21,6241,1000,"Racing, Simulation, Sports",Racing, Simulation, Sports,,DiRT Rally
Gorogoa,1.68,"31,296",10,1-2 hours,3.6,04 Jan 22,1684,1000,"Adventure, Puzzle",Adventure, Puzzle,,,Gorogoa
Tom Clancy's Rainbow Six Extraction,3.74,"100,187",1.2,60-80 hours,3.6,16 Jan 22,3737,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,Tom Clancy's Rainbow Six Extraction
RAGE 2,3.17,"108,746",0.5,25-30 hours,3.6,16 Dec 19,4544,1435,"Action, FPS, Open World",Action, FPS, Open World,,RAGE 2
Neoverse,3.79,"3,635",2,50-60 hours,3.6,17 Dec 20,3788,1000,"Strategy, Roguelike, Card Game",Strategy, Roguelike, Card Game,,Neoverse
Broken Age,2.96,"9,915",4.1,8-10 hours,3.6,15 Dec 21,2961,1000,"Adventure, Point & Click, Puzzle",Adventure, Point & Click, Puzzle,,Broken Age
Crackdown 3: Campaign,3.61,"156,604",1.6,25-30 hours,3.6,17 Dec 19,6318,1750,"Action, Open World, Adventure",Action, Open World, Adventure,,Crackdown 3: Campaign
Evil Genius 2: World Domination,8.2,"31,909",0.1,120-150 hours,3.6,12 Oct 21,8198,1000,"Strategy, Simulation, Management",Strategy, Simulation, Management,,Evil Genius 2: World Domination
Donut County,1.3,"104,448",48.4,1-2 hours,3.6,20 Jan 21,1302,1000,"Adventure, Puzzle, Indie",Adventure, Puzzle, Indie,,Donut County
EA SPORTS UFC 3,5.07,"87,677",0.1,100-120 hours,3.6,09 Nov 20,5066,1000,"Sports, Fighting, Simulation",Sports, Fighting, Simulation,,EA SPORTS UFC 3
Worms W.M.D.,7.22,"62,768",0.2,40-50 hours,3.6,16 Dec 19,7217,1000,"Strategy, Turn-Based, Action",Strategy, Turn-Based, Action,,Worms W.M.D.
Bridge Constructor Portal,2.32,"31,372",1.7,15-20 hours,3.6,18 Oct 20,2717,1170,"Puzzle, Simulation",Puzzle, Simulation,,,Bridge Constructor Portal
Tainted Grail: Conquest,3.49,"8,876",2,25-30 hours,3.6,22 Mar 22,3492,1000,"RPG, Roguelike, Card Game",RPG, Roguelike, Card Game,,Tainted Grail: Conquest
DOOM 64,1.42,"55,971",39.2,1-2 hours,3.6,12 Mar 21,1418,1000,"Action, FPS, Shooter",Action, FPS, Shooter,,DOOM 64
Astroneer,3.68,"96,424",1.5,60-80 hours,3.6,16 Dec 19,3957,1075,"Adventure, Survival, Open World",Adventure, Survival, Open World,,Astroneer
Twelve Minutes,1.69,"62,794",21.2,2-3 hours,3.6,17 Aug 21,1691,1000,"Adventure, Thriller, Puzzle",Adventure, Thriller, Puzzle,,Twelve Minutes
Spelunky 2,12.46,"27,710",0.2,80-100 hours,3.6,13 Jan 22,12463,1000,"Roguelike, Platformer",Roguelike, Platformer,,,Spelunky 2
Viva Piñata,1.93,"143,160",9.7,40-50 hours,3.6,16 Dec 19,1934,1000,"Simulation, Life Sim",Simulation, Life Sim,,,Viva Piñata
Tell Me Why,1.37,"72,734",12.5,2-3 hours,3.6,28 Sep 20,2060,1500,"Adventure, Story Rich",Adventure, Story Rich,,,Tell Me Why
Subnautica,1.75,"154,110",25.1,1-2 hours,3.5,16 Dec 19,1747,1000,"Adventure, Survival, Open World",Adventure, Survival, Open World,,Subnautica
Human Fall Flat,3.48,"218,760",1.3,8-10 hours,3.5,13 Dec 18,7931,2280,"Adventure, Puzzle, Multiplayer",Adventure, Puzzle, Multiplayer,,Human Fall Flat
Need for Speed Payback,2.89,"99,911",1.4,40-50 hours,3.5,09 Nov 20,3614,1250,"Racing, Open World",Racing, Open World,,,Need for Speed Payback
Contrast,1.4,"27,602",37.8,3-4 hours,3.5,03 Feb 22,1396,1000,"Adventure, Puzzle, Platformer",Adventure, Puzzle, Platformer,,Contrast
Dodgeball Academia,1.85,"17,010",15.7,6-8 hours,3.5,05 Aug 21,1853,1000,"Action, RPG, Sports",Action, RPG, Sports,,Dodgeball Academia
MechWarrior 5: Mercenaries,3.07,"11,667",1.6,60-80 hours,3.5,27 May 21,3074,1000,"Action, Simulation, Shooter",Action, Simulation, Shooter,,MechWarrior 5: Mercenaries
SSX,5.28,"151,364",1.1,35-40 hours,3.5,09 Nov 20,5283,1000,"Sports, Snowboarding",Sports, Snowboarding,,,SSX
Star Wars: Squadrons,8.52,"78,201",0.2,60-80 hours,3.5,18 Mar 21,8520,1000,"Action, Simulation, Space",Action, Simulation, Space,,Star Wars: Squadrons
Last Stop,1.58,"26,704",19.2,6-8 hours,3.5,22 Jul 21,1576,1000,"Adventure, Story Rich",Adventure, Story Rich,,,Last Stop
Visage,3.81,"36,716",3.1,10-12 hours,3.5,07 Oct 21,3807,1000,"Survival Horror, Adventure, Simulation",Survival Horror, Adventure, Simulation,,Visage
Back 4 Blood,4.11,"191,301",0.2,150-200 hours,3.5,24 Sep 21,4604,1120,"Action, FPS, Shooter",Action, FPS, Shooter,,Back 4 Blood
Moonglow Bay,3.05,"4,060",2.9,40-50 hours,3.5,26 Oct 21,3050,1000,"Adventure, RPG, Indie",Adventure, RPG, Indie,,Moonglow Bay
NBA 2K22,4.24,"18,528",0,,3.5,28 Apr 22,4241,1000,"Sports, Simulation",Sports, Simulation,,,NBA 2K22
Aliens: Fireteam Elite,5.48,"66,336",0.4,200-300 hours,3.5,14 Dec 21,5485,1000,"Action, RPG, Survival",Action, RPG, Survival,,Aliens: Fireteam Elite
Breathedge,4.92,"23,600",0.7,25-30 hours,3.5,09 Sep 21,4923,1000,"Adventure, Survival, Open World",Adventure, Survival, Open World,,Breathedge
Bloodroots,2.79,"25,183",5.2,6-8 hours,3.5,15 Jul 21,2787,1000,"Action, Indie",Action, Indie,,,Bloodroots
